City,Figure,Per capita,Date,Source,Notes
Amsterdam,"5,864",,2014,The Art Newspaper Visitor Figures 2014,
Berlin,"1,653",,2011,"The Art Newspaper ""Exhibitions & Museum Attendance Figures 2011""",
Edinburgh,926,,2015,National Galleries of Scotland,
Hong Kong,"2,209",,2016,Leisure and Cultural Services Department,Only Limited to exhibitions held by LCSD
Istanbul,"2,179",,2011,"The Art Newspaper ""Exhibitions & Museum Attendance Figures 2011""",
London,"5,064",,2013,"The Art Newspaper ""Exhibitions & Museum Attendance Figures 2013""",
Los Angeles,"2,987",,2013,The Art Newspaper,
Madrid,"2,999",,2013,The Arts Newspaper / BOP,
Melbourne,"4,153",,2014,National Gallery of Victoria,
Montréal,"1,794",,2011,"Ville de Montréal, Direction Culture et Patrimoine",
Moscow,"17,645",,2013,City of Moscow,
New York,"5,918",,2014,"Art Newspaper ""Exhibitions & Museum Attendance Figures 2014""",
Paris,"6,124",,2013,CRT Paris Île-de-France – musées – OTCP.,
Rio de Janeiro,"5,283",,2012,"The Art Newspaper ""Exhibitions & Museum Attendance Figures 2012""",
San Francisco,"2,098",,2013,The Art Newspaper Special Report: Visitor Figures 2013: Museum and Exhibition Attendance Numbers Compiled and Analyzed,
São Paulo,"3,182",,2011,"The Art Newspaper ""Exhibitions & Museum Attendance Figures 2011""",
Shenzhen,160,,2014,Shenzhen University,
Taipei,"2,932",,2014,"Department of Cultural Affairs, Taipei City Government",
Tokyo,"5,667",,2015,"Bijutsu-Nenkansha - ""The number of visitors to art exhibition BEST20 in 2015""",
Toronto,"8,969",,2014,"Art Newspaper, BOP",This number refers to top 5 exhibitions in 2013/2014 together
Vienna,"20,785",,2014,Vienna Annual Statistics 2014,
Warsaw,"3,344",,2015,City of Warsaw,
