City,Figure,Per capita,Date,Source,Notes
Amsterdam,136,,2014,LISA,
Austin,75,,2015,ReferenceUSAGov,
Berlin,245,,2012,Gelbe Seiten,
Bogotá,269,,2009,CERLALC,
Buenos Aires,690,,2016,SINCA,
Dakar,4,,2016,Ville de Dakar,
Edinburgh,52,,2013,UNESCO Edinburgh City of Literature Trust,
Hong Kong,"1,460",,2015,Census and Statistics Department,Number of establishments for retail sale of books newspapers and stationery
Istanbul,134,,2015,Yellow Pages,
Johannesburg,"1,020",,2012,VANSA/SABDA,
London,360,,2015,Booksellers Association,
Los Angeles,474,,2013,Future of Publishing Think Tank/LACAC,
Madrid,497,,2014,Paginas Amarillas,
Melbourne,343,,2015,"Australian Booksellers Association, Yellow Pages",
Montréal,112,,2011,Institut de la statistique du Québec,
Moscow,542,,2014,Yellow Pages,
Mumbai,525,,2012,Tata Institute of Social Sciences,
New York,839,,2015,YellowPages,
Paris,"1,134",,2015,Pages Jaunes,
Rio de Janeiro,296,,2011,Associação Nacional de Livrarias (ANL),
San Francisco,93,,2013,CitySearch / Yelp / Google,
São Paulo,390,,2011,ANL,
Seoul,875,,2015,The Seoul Institute,
Shanghai,"3,800",,2014,Shanghai Theatre Academy,
Shenzhen,707,,2014,Culture Sports and Tourism Administration of Shenzhen Municipality,
Singapore,164,,2016,Eguide Singapore Business Directory,
Stockholm,70,,2014,Svenska Antikvariatföreningen,
Sydney,457,,2015,Yellow Pages,
Taipei,476,,2014,Ministry of Finance,
Tokyo,"1,430",,2015,"Nippon Shuppan Hanbai Inc - ""Survey Publication Sales 2015""",
Toronto,364,,2015,BOP/ Yelp/ Yellowpages,
