City,Figure,Per capita,Date,Source,Notes
Amsterdam,38,,2014,Dutch Federation for Cinematography,
Austin,56,,2015,Cinematreasures.org,
Berlin,94,,2011,Filmförderungsanstalt,
Bogotá,46,,2012,Ministerio de Cultura de Colombia - SIREC,
Brussels,11,,2015,Dpt Culture City of Brussels,
Buenos Aires,65,,2016,Estadísticas y Censos CABA,
Dakar,3,,2016,Ville de Dakar,
Edinburgh,9,,2015,Edinburgh City Council,
Hong Kong,47,,2015,Hong Kong Film Development Council (HKFDC),
Istanbul,99,,2015,Online resources,
Johannesburg,47,,2012,NFVF/VANSA,
London,158,,2013,BFI Statistical Yearbook 2014,
Los Angeles,133,,2013,Cinematreasures.org/Mrmovietimes,
Madrid,43,,2013,Ayuntamiento de Madrid (Ministerio de Cultura. Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)),
Melbourne,54,,2015,Motion Picture Distributors Association of Australia,
Montréal,20,,2012,Observatoire de la Culture et des communications du Québec,
Moscow,112,,2014,Unified federal automated information system of film screening,
Mumbai,105,,2012,Tata Institute of Social Sciences,
New York,95,,2015,Cinematreasures.org,
Paris,310,,2013,CNC,
Rio de Janeiro,42,,2012,Ancine,
San Francisco,25,,2015,"MrMovieTimes.com, CinemaTreasures.org",
São Paulo,46,,2012,Ancine,
Seoul,88,,2015,Korean Film Council,
Shanghai,230,,2015,"Shanghai Municipal Administration of Culture, Radio, Film & TV",
Shenzhen,112,,2014,Culture Sports and Tourism Administration of Shenzhen Municipality,
Singapore,32,,2016,Singaporecinemas.blogspot,
Stockholm,21,,2013,The Swedish Film Institute,
Sydney,57,,2015,Sydney Arts Guide / The Fix,
Taipei,36,,2014,Ministry of Culture,
Tokyo,67,,2015,"Ministory of Economy, Trade and Industry - ""Survey of Selected Service Industries 2015""",
Toronto,46,,2015,BOP/ Tribune.ca / Cinemaclock,
Vienna,27,,2013,Filmwirtschaftsbericht,
Warsaw,27,,2014,Central Statistical Office of Poland,
