City,Figure,Per capita,Date,Source,Notes
Amsterdam,88%,,2015,City of Amsterdam,Queensday
Austin,44%,,2014,Austin Business Journal,South by Southwest
Berlin,40%,,2011,Karneval der Kulturen Official Website,Karneval der Kulturen
Bogotá,46%,,2012,Instituto Distrital de Recreaación y Deporte,Festival de Verano de Bogotá
Buenos Aires,"19,60%",,2015,Dirección de Festivales de la Ciudad de Buenos Aires,
Edinburgh,466%,,2015,Edinburgh Festival Fringe,
Johannesburg,1%,,2011,COJ Report: November 2011,Arts Alive
London,18%,,2013,Metropolitan Police,Notting Hill Carnival
Los Angeles,12%,,2014,LA County Fair/Census data,LA County Fair
Madrid,38%,,2013,CTV,Gay Pride Festival
Melbourne,28%,,2015,"Events Melbourne, Australian Bureau of Statistics",
Montréal,106%,,2012,Ville de Montréal,Montréal International Jazz Festival
Moscow,1%,,2013,Department of culture,
Mumbai,16%,,2011,Tata Institute of Social Sciences,Ganesha Utsav
New York,42%,,2015,Macy's,Macy's Thanksgiving Day Parade
Paris,8%,,2013,CRT / Insee,Nuit Blanche
Rio de Janeiro,190%,,2013,Guia do Rio,Carnaval do Rio de Janeiro
San Francisco,93%,,2012,Pride Parade/Census data,Pride Parade
São Paulo,36%,,2012,SP Turis,Carnaval
Seoul,11%,,2014,Seoul Metropolitan Government,Hi Seoul Festival
Shanghai,20%,,2014,Xinhua News Agency,
Shenzhen,99%,,2014,Shenzhen Municipal Economic and Social Development Statistics 2014,
Stockholm,25%,,2014,The Stockholm City Culture Administration,
Taipei,8%,,2014,"Department of Cultural Affairs, Taipei City Government",
Tokyo,14%,,2012,"Taito City - ""Tourism Statistics and Marketing Research 2012""",
Toronto,55%,,2014,Canadian National Exhibition,Canada National Exhibition
Vienna,186%,,2015,Donauinselfest.at,Donauinselfest
Warsaw,7%,,2014,City of Warsaw database,
