City,Figure,Per capita,Date,Source,Notes
Amsterdam,"34,00%",,2014,Statistics Netherlands/TNO,
Netherlands,"21,00%",,2012,Statistics Netherlands,
Austin,"17,00%",,2010,U.S. Census Bureau,
United States,"12,70%",,2010,U.S. Census Bureau,
Berlin,"13,23%",,2010,Amt für Statistik Berlin-Brandenburg,
Germany,"8,26%",,2010,Statistisches Bundesamt Deutschland,
Bogotá,"0,26%",,2005,Departamento Nacional de Estadística,
Colombia,"0,45%",,2005,Departamento Nacional de Estadística,
Brussels,"46,00%",,2008,Brussels Studies,
Belgium,"15,50%",,2013,OECD,
Buenos Aires,"13,00%",,2010,INDEC,
Argentina,"4,50%",,2010,INDEC,
Edinburgh,"13,60%",,2014,"Office for National Statistics, Nomis, Annual population survey",Indicator is the % of white and ethnic minority not UK born
Scotland,"7,20%",,2014,"Office for National Statistics, Nomis, Annual population survey",Indicator is the % of white and ethnic minority not UK born
Turkey,"1,27%",,2014,Turkish Statistical Institute,
Johannesburg,"5,70%",,2007,Statssa: Community Survey 2007,
South Africa,"2,70%",,2007,Statssa: Community Survey 2007,
London,"35,90%",,2013,Office of National Statistics,
United Kingdom,"13,40%",,2013,Office of National Statistics,
Los Angeles,"35,10%",,2013,US Census Bureau,
United States,"12,70%",,2010,US Census Bureau,
Madrid,"20,47%",,2013,Ayuntamiento de Madrid,
Spain,"13,22%",,2013,Instituto Nacional de Estadisdica,
Melbourne,"36,70%",,2011,Australian Bureau of Statistics,
Australia,"30,20%",,2011,Australian Bureau of Statistics,
Montréal,"33,20%",,2011,"Statistique Canada, ENM 2011 (Enquête Nationale auprès des Ménages)",
Canada,"21,00%",,2011,2011 National Household Survey,
Moscow,"13,00%",,2010,National Census,
Russia,"20,00%",,2010,National Census,
Mumbai,"1,40%",,2001,Tata Institute of Social Sciences,
India,"0,52%",,2005,UNESCAP Statistical Yearbook for Asia and the Pacific 2009,
New York,"36,80%",,2010,US Census Bureau,
United States,"12,70%",,2010,US Census Bureau,
Paris,"21,60%",,2011,Insee,
France,"10,40%",,2011,Insee,
Rio de Janeiro,"1,00%",,2011,Censo,
Brazil,"0,30%",,2011,Censo,
San Francisco,"35,60%",,2009-2013,US Census Bureau,
United States,"12,70%",,2010,USCensus Bureau,
São Paulo,"1,00%",,2011,Censo,
Brazil,"0,30%",,2011,Censo,
Seoul,"4,10%",,2014,Statistics Korea,
Korea,"3,10%",,2014,Statistics Korea,
Shanghai,"0,01%",,2014,National Bureau of Statistics of the People's Republic of China,
China,7%,,2014,National Bureau of Statistics of the People's Republic of China,
Singapore,"29,23%",,2014,Department of Statistics Singapore,
Stockholm,"30,09%",,2013,Statistics Sweden,
Sweden,"20,75%",,2013,Statistics Sweden,
Sydney,"40,10%",,2011,ABS Census,
Australia,30.20%,,2011,ABS Census,
Tapei,"2,70%",,2015,"Department of Cultural Affairs, Taipei City Government",
Taiwan,"3,00%",,2015,"Department of Cultural Affairs, Taipei City Government",
Tokyo,"3,3%",,2015,"Ministry of Internal Affairs and Communications - ""Population, Demography and Number of Households based on the Basic Resident Registers, 1st January 2016""",
Japan,"1,70%",,2015,"Ministry of Internal Affairs and Communications - ""Population, Demography and Number of Households based on the Basic Resident Registers, 1st January 2016""",
Toronto,"49,00%",,2011,2011 National Household Survey,
Canada,"21,00%",,2011,2011 National Household Survey,
Vienna,"32,16%",,2014,Vienna Annual Statistics 2014,
Poland,"1,16%",,2013,"""Children in Poland"" UNICEF, Polish National Commitee",
