City,Figure,Per capita,Date,Source,Notes
Amsterdam,35,,2013,Trade Association for Horeca and Catering,
Austin,54,,2015,Nightlife Austin,
Berlin,152,,2012,Club Guide Berlin,
Brussels,34,,2015,VisitBrussels / agendas,
Buenos Aires,148,,2016,Ministerio de Justicia y Seguridad- Agencia Gubernamental de Control,
Edinburgh,28,,2015,Edinburgh Guide website,
Hong Kong,110,,2016,Industry Statistics,
Istanbul,106,,2015,Online resources,
Johannesburg,130,,2012,VANSA,
London,339,,2015,Yell,
Los Angeles,731,,2013,Citysearch/Yelp,
Madrid,212,,2014,"Departamento de Datos Estadísticos, Dirección General de Estadística, Ayuntamiento de Madrid",
Melbourne,91,,2015,Yellow Pages,
Montréal,68,,2013,"Ville de Montréal, Direction Culture et Patrimoine",
Moscow,371,,2014,Yellow Pages,
Mumbai,29,,2012,Tata Institute of Social Sciences,
New York,498,,2015,Citysearch,
Paris,171,,2013,Sacem,
Rio de Janeiro,240,,2012,"SindRio, Sindicato de Hotéis, Bares e Restaurantes",
San Francisco,136,,2015,Citysearch / Yelp,
São Paulo,184,,2012,"SinHoRes, Sindicato de Hotéis, Restaurantes, Bares e Similares de São Paulo",
Seoul,191,,2013,STATISTICS KOREA (Report of the census on establishment),
Shanghai,"1,330",,2014,2014 Shanghai Municipal Culture and Heritage Statistics,
Shenzhen,861,,2013,Office of Local Chronicles Compilation of Shenzhen Municipality,
Singapore,57,,2016,Eguide Singapore Business Directory,
Sydney,155,,2015,APRA AMCOS,Nightclubs' licensed venues in Sydney metro
Tokyo,91,,2016,nightclub Navi,
Toronto,250,,2013,Hype1,
