City,Figure,Per capita,Date,Source,Notes
Amsterdam,22,,2014,Guide Michelin,
Berlin,14,,2012,Michelin Guide Website,
Buenos Aires,0,,,,
Edinburgh,4,,2015,Michelin website,
Hong Kong,61,,2016,Michelin Hong Kong Macau 2016,
London,62,,2014,Via Michelin,
Los Angeles,20,,2009,Michelin Guide to Los Angeles 2009,
Madrid,12,,2015,Via Michelin,
New York,76,,2015,Michelin Travel,
Paris,105,,2015,Guide Michelin,
San Francisco,21,,2015,Michelin Guide to San Francisco 2015,
Shanghai,0,,2014,,
Singapore,29,,2016,Michelin Guide,
Stockholm,9,,2014,Guide Michelin,
Tokyo,217,,2015,"Nihon Michelin Tire Co., Ltd - ""Michelin Guide 2016 Tokyo""",
Vienna,94,,2015,Via MIchelin,
Warsaw,1,,2015,Michelin Main Cities of Europe 2015,
