City,Figure,Per capita,Date,Source,Notes
Amsterdam,"63,5",,2013,Trade Association for Horeca and Catering,
Austin,"21,8",,2015,Nightlife Austin,
Berlin,"36,0",,2008,Amt für Statistik Berlin-Brandenburg,
Brussels,"148,3",,2013,FOD Economie ADSEI,
Buenos Aires,"367,0",,2016,,
Edinburgh,"91,5",,2015,City of Edinburgh Council licencsed premises database,
Hong Kong,"17,9",,2016,Industry Statistics,
Istanbul,"2,1",,2015,Istanbul Chamber of Commerce and Turkish Statistical Institute,
London,"32,0",,2015,Yell,
Los Angeles,"32,1",,2013,Citysearch; Yelp / US Census,
Madrid,"185,6",,2014,Dirección General de Estadística. Ayuntamiento de Madrid,
Melbourne,"16,1",,2015,Victorian Commission for Gambling and Liquor Regulation,
Montréal,"68,2",,2013,"Régie des alcools, des courses et des jeux du Québec",
Moscow,"4,8",,2014,Yellow Pages,
Mumbai,"4,4",,2012,Yellow Pages,
New York,"32,5",,2013,U.S Census Bureau,
Paris,"27,2",,2015,Pages Jaunes / Insee,
Rio de Janeiro,"191,0",,2012,"SindRio, Sindicato de Hotéis, Bares e Restaurantes",
San Francisco,"46,8",,2012,San Francisco Department of Public Health/US Census,
São Paulo,"133,3",,2012,"SinHoRes, Sindicato de Hotéis, Restaurantes, Bares e Similares de São Paulo",
Seoul,"186,4",,2013,STATISTICS KOREA (Report of the census on establishment),
Shanghai,"11,1",,2015,Dianping.com,
Shenzhen,"13,3",,2014,Dianping.com,
Singapore,"12,0",,2014,Eguide Singapore Business Directory - Bars and Pubs,
Stockholm,"19,1",,2013,118100.se,
Sydney,"16,3",,2015,Office of Liquor Gaming and Racing,
Taipei,"8,7",,2015,Ministry of Finance,
Tokyo,"216,5",,2012,"Japan Statistical Research and Training Institute, Ministry of Internal Affairs and Commucniations, (2012). Economic Census for Business Activity 2012",
Toronto,"36,6",,2013,TO Bars,
