City,Figure,Per capita,Date,Source,Notes
Amsterdam,6.135.000,"2,6",2014,Dutch Exhibitors Association,
Berlin,9.126.793,"2,6",2011,Filmförderungsanstalt,
Bogotá,17.569.846,"2,3",2012,Ministerio de Cultura de Colombia - SIREC,
Brussels,3.657.869,"3,1",2013,"SPF Économie, Direction générale Statistique - Statistics Belgium",
Buenos Aires,11.160.626,"3,65",2015,INCAA (Instituto Nacional de Cine y Artes Visuales),
Istanbul,16.251.695,"1,1",2013,Turkish Statistical Institute - Cultural Statistics,
Johannesburg,13.079.824,"1,3",2007,National Film and Video Foundation,
London,42.200.000,"5,0",2013,BFI Statistical Yearbook 2014,
Madrid,7.933.307,"2,5",2013,Ayuntamiento de Madrid (Ministerio de Cultura. Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)),
Melbourne,23.263.620,"7,4",2014,"Screen Australia, Australian Bureau of Statistics",
Montréal,6.424.300,"3,4",2012,Observatoire de la culture et des communications (OCCQ) de l'Institut de la statistique du Québec,
Moscow,11.979.500,"1,0",2013,Unified interdepartmental information and statistical system,
Mumbai,10.974.667,"0,9",2011,Tata Institute of Social Sciences,
Paris,55.500.000,"4,6",2013,CNC,
Rio de Janeiro,15.642.939,"2,5",2012,Filme B,
Rome,5.415.703,"1,2",2014,SIAE,
São Paulo,50.000.000,"4,4",2011,Organização Filme B,
Seoul,59.509.392,"5,9",2014,Korean Film Council,
Shanghai,46.280.000,"1,9",2014,"Shanghai Municipal Administration of Culture, Radio, Film & TV",
Shenzhen,29.420.000,"2,7",2014,Croton Media,
Singapore,21.561.500,"3,9",2014,Singapore Cultural Statistics 2015 - Film Attendance and Box Office,
Stockholm,5.295.000,"2,5",2013,The Swedish Film Institute,
Sydney,21.437.565,"4,4",2014,Screen Australia,
Taipei,16.276.698,"6,1",2013,"Department of Cultural Affairs, Taipei City Government",
Tokyo,27.321.715,"2,0",2015,"Ministry of Economy, Trade and Industry, (2015). Survey of Selected Service Industries",
Toronto,12.602.231,"4,8",2010,Statistics Canada,Estimated from regional attendance figures and only concerns paid cinema admissions
Vienna,5.000.000,"2,8",2013,Filmwirtschaftbericht,
Warsaw,6.552.606,"3,8",2014,Central Statistical Office of Poland,
