City,Figure,Per capita,Date,Source,Notes
Amsterdam,"47,3",,2014,Dutch Federation for Cinematography,
Austin,"29,0",,2015,Cinematreasures.org,
Berlin,"76,9",,2011,Filmförderungsanstalt,
Bogotá,"31,7",,2012,Ministerio de Cultura de Colombia - SIREC,
Brussels,"55,3",,2013,"SPF Économie, Direction générale Statistique - Statistics Belgium",
Buenos Aires,"54,0",,2015,Datos de elaboración propia en base a datos del INCAA,
Dakar,1,,2016,Ville de Dakar,
Edinburgh,"125,8",,2015,"We have 62 screens and a population of 492,680",
Hong Kong,"28,5",,2015,Hong Kong Film Development Council (HKFDC),
Istanbul,"49,1",,2013,Turkish Statistical Institute,
Johannesburg,"32,5",,2012,NFVF/VANSA,
London,"102,2",,2013,BFI Statistical Yearbook 2014,http://www.bfi.org.uk/sites/bfi.org.uk/files/downloads/bfi-statistical-yearbook-2014.pdf
Los Angeles,"106,1",,2013,Cinematreasures.org/Mrmovietimes,
Madrid,"77,1",,2013,Ayuntamiento de Madrid (Ministerio de Cultura. Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)),
Melbourne,"84,0",,2015,Motion Picture Distributors Association of Australia,
Montréal,"101,8",,2012,Observatoire de la Culture et des communications du Québec,
Moscow,"48,3",,2013,The Moscow city government,
Mumbai,"18,7",,2012,Tata Institute of Social Sciences,
New York,"45,7",,2015,Cinematreasures.org/Mrmovietimes,
Paris,"87,8",,2013,CNC/Insee,
Rio de Janeiro,"29,9",,2012,Ancine,
Rome,"46,8",,2015,Agisancelazio,
San Francisco,"103,1",,2015,"MrMovieTimes.com, CinemaTreasures.org, US Census Bureau",
São Paulo,"26,0",,2012,Ancine,
Seoul,"49,9",,2015,Korean Film Council,
Shanghai,"31,5",,2014,"Shanghai Municipal Administration of Culture, Radio, Film & TV",
Shenzhen,"48,9",,2014,Culture Sports and Tourism Administration of Shenzhen Municipality,
Singapore,"37,8",,2013,Department of Statistics Singapore - Yearbook of Statistics 2014 (Culture and Recreation),
Stockholm,"62,9",,2013,The Swedish Film Institute,
Sydney,"75,8",,2015,Motion Picture Distributors Association of Australia,Figure estimated from regional figure
Taipei,"67,7",,2014,"Department of Cultural Affairs, Taipei City Government",
Tokyo,"23,8",,2015,"Ministry of Economy, Trade and Industry, (2015). Survey of Selected Service Industries",
Toronto,"113,6",,2015,"BOP Research: Tribune.ca,, Cinemaclock",
Vienna,"81,5",,2013,Filmwirtschaftsbericht,
Warsaw,"80,1",,2014,Central Statistical Office of Poland,
