City,Figure,Per capita,Date,Source,Notes
Amsterdam,5,,2015,Amsterdam Metropolitan Area,
Austin,8,,2015,City of Austin,
Berlin,15,,2012,Qype Germany,
Bogotá,0,,2012,SDCRD,
Edinburgh,2,,2015,The Stand Comedy Club,
Istanbul,1,,2011,Istanbul.net.tr,
Johannesburg,1,,2011,VANSA,
London,18,,2012,Time Out London,
Los Angeles,32,,2013,"LA Weekly, Timeout LA, Zvents",
Madrid,9,,2014,Yellow Pages,
Melbourne,15,,2015,"Melbourne International Comedy Festival, Online Research",
Montréal,N/A,,2013,"Ville de Montréal, Direction Culture et Patrimoine",
Mumbai,1,,2012,Tata Institute of Social Sciences,
New York,24,,2015,BOP,
Paris,50,,2015,Officiel des spectacles,
Rio de Janeiro,0,,2013,Stand up Comedy Brasil,
San Francisco,11,,2015,SF Weekly; Yelp,
São Paulo,2,,2013,Stand up Comedy Brasil,
Seoul,8,,2015,The Seoul Institute,
Shenzhen,2,,2014,Shenzhen University,
Singapore,1,,,Wikipedia - Stand Up Article,The Comedy Club Asia
Stockholm,20,,2014,Google,
Sydney,4,,2015,Desktop Research,
Taipei,0,,2015,"Department of Cultural Affairs, Taipei City Government",
Tokyo,0,,2016,,
Toronto,17,,2015,Yelp,
Vienna,10,,2015,"Municipal event department, Dep 36",
