City,Figure,Per capita,Date,Source,Notes
Amsterdam,104,,2012,City of Amsterdam/BOP,Scaled up from weekly figures
Berlin,111,,2010,Deutscher Bühnenverein Theaterstatistik 2009/2010,
Edinburgh,244,,2015,Culture Republic,In financial year 2014/15
Hong Kong,499,,2014,"Hong Kong Annual Arts Survey Report Highlights 2013/14, published by Hong Kong Arts Development Council",Dance performances that staged in the main performing arts facilities mentioned in AAS 13/14.
Istanbul,158,,2014,Istanbul State Opera and Ballet Directorate,This figure cover ballet and opera performances managed by Ministry of Culture and Tourism and does not include any other private initiatives.
Johannesburg,250,,2012,VANSA,Figure reflects contemporary dance performances only
London,"2,578",,2012,Time Out London,Scaled up from weekly figures
Los Angeles,"1,630",,2013,Experience LA/LA Weekly/Zvent calendars,Scaled up from weekly figures
Madrid,351,,2014,guiadelocio.com,Scaled up from weekly figures
Melbourne,"1,236",,2015,"Melbourne Festival, Melbourne Fringe, Dance Massive and in Time Out, Arts Hub, Ausdance Victoria",Scaled up from weekly listings
Montréal,669,,2012,Ville de Montréal/OCCQ,
Mumbai,130,,2012,Tata Institute of Social Sciences,
New York,"6,292",,2012,Time Out New York,Scaled up from weekly figures
Paris,"1,651",,2012,Arcadi / IAU,Scaled up from weekly figures
Rio de Janeiro,"3,657",,2013,Secretaria Municipal de Cultura/Guia da Semana,Scaled up from weekly figures
San Francisco,987,,2015,Dancer´s Group,
São Paulo,"5,200",,2012,Guia da Folha,Scaled up from weekly figures
Seoul,"2,875",,2013,Korea Arts Management Service,
Shanghai,258,,2014,"Shanghai Municipal Administration of Culture, Radio, Film & TV",
Shenzhen,"2,021",,2014,Shenzhen University,
Singapore,"1,035",,2012,Singapore Cultural Statistics 2013 - Arts and Cultural Activities (National Arts Council),
Stockholm,749,,2008,The National Council of Cultural affaires,
Taipei,206,,2014,"Department of Cultural Affairs, Taipei City Government",
Tokyo,"2,445",,2014,"Live Entertainment Research Committee - ""White Paper on Live Entertainment 2015""",
Toronto,468,,2015,Now Toronto/Toronto Arts online,Scaled up from weekly figures
Vienna,350,,2015,"Municipal event department, Dep 36",
