City,Figure,Per capita,Date,Source,Notes
Amsterdam,353,,2013,Dutch Film Distributors Association,
Austin,738,,2014,Hollywood.com/Nash Information Services,
Berlin,508,,2010,Spitzenorganisation der Filmwirtschaft Filmstatistisches Jarbuch 2011,
Bogotá,218,,2012,Ministerio de Cultura de Colombia - SIREC,
Buenos Aires,428,,2015,INCAA (Instituto Nacional de Cine y Artes Visuales),
Edinburgh,647,,2012,BFI Statistical Yearbook 2013,
Hong Kong,332,,2015,Hong Kong Film Development Council (HKFDC),
Istanbul,357,,2014,General Directorate of Cinema,
Johannesburg,203,,2011,NFVF,
London,698,,2013,BFI Statistical Yearbook 2014,
Los Angeles,738,,2014,Hollywood.com/Nash Information Services,
Madrid,1.482,,2012,MCU,
Melbourne,505,,2014,Motion Picture Distributors Association of Australia,
Montréal,576,,2011,Canadian Association of Film Distributors and Exporters,
Moscow,464,,2013,Kinopoisk,
Mumbai,3.781,,2010,"Central Board of Film Certification (CBFC), Mumbai, Annual Report 2010.",
New York,738,,2014,Hollywood.com/Nash Information Services,
Paris,343,,2014,CNC,
Rio de Janeiro,303,,2010,ECINE,
San Francisco,738,,2014,Hollywood.com/Nash Information Services,
São Paulo,303,,2010,ECINE,
Seoul,1.117,,2014,Korean Film Council,
Shanghai,257,,2014,"Shanghai Municipal Administration of Culture, Radio, Film & TV",
Shenzhen,388,,2014,entgroup.cn,
Singapore,310,,2013,Box Office Mojo - Singapore,
Stockholm,248,,2013,The Swedish Film Institute,
Sydney,505,,2014,Motion Picture Distributors Association of Australia,
Taipei,498,,2014,"Bureau of Audiovisual and Music Industry Development, Ministry of Culture",
Tokyo,1.136,,2015,"Motion Picture Producers Assoiciation of Japan, Inc. ""Statistics of Film Industry in Japan""",
Toronto,576,,2011,Canadian Association of Film Distributors and Exporters,
Vienna,400,,2013,Filmwirtschaftsbericht,
Warsaw,341,,2014,Polish Film Commission,
