City,Figure,Per capita,Date,Source,Notes
Amsterdam,10.500.000,,2013,Statistics Netherlands/TNO,
Berlin,2.871.000,,2010,Amt für Statistik Berlin-Brandenburg,
Bogotá,966.748,,2012,Observatorio turístico de Bogotá/IDT,
Brussels,2.602.094,,2013,Observatoire du tourisme à Bruxelles,
Buenos Aires,1.729.356,,2015,Observatorio de Turismo de la Ciudad de Buenos Aires,
Dubai,13.000.000,,2015,Dubai Culture and Arts Authority,
Edinburgh,1.300.000,,2013,Visit Britain,
Hong Kong,59.307.596,,2015,Tourism Commission,Figure refers to all overnight and same-day visitor arrivials in 2015 including tourists from the Mainland China. The Basic Law states that people from the Mainland must apply for approval for entry into the HKSAR.
Istanbul,11.842.983,,2014,Istanbul Provincial Directorate of Culture and Tourism,
Johannesburg,3.988.335,,2010,Gauteng Tourism Authority,
London,16.800.000,,2013,Office for National Statistics,
Los Angeles,6.500.000,,2014,Los Angeles Tourism and Convention Board,
Madrid,3.688.258,,2013,Ayuntamiento de Madrid/Instituto Nacional de Estadística: Encuesta de Ocupación Hotelera,
Melbourne,1.917.000,,2014,"Tourism Research Australia, City of Melbourne Smart City Office",
Montréal,1.770.939,,2010,Office des congrès et du tourisme du grand Montréal (OCTGM),
Moscow,5.200.000,,2012,The Moscow City Government Website,
Mumbai,2.195.000,,2010,Euromonitor International’s top city destinations ranking (2012),
New York,11.805.400,,2014,Euromonitor International’s top city destinations ranking,
Paris,15.500.000,,2013,CRT,
Rio de Janeiro,1.400.000,,2012,Global Destination Cities Index,
San Francisco,3.044.000,,2013,California Travel & Tourism Commission Research,
São Paulo,1.600.000,,2011,SPTuris,
Seoul,11.446.422,,2014,Korea Tourism Organization / Korea Culture and Tourism Institute,
Shanghai,7.913.000,,2014,Shanghai Statistics,
Shenzhen,1.661.200,,2014,Shenzhen Municipal Economic and Social Development Statistics 2014,
Singapore,15.567.900,,2013,Department of Statistics Singapore,
Stockholm,2.000.000,,2013,Stockholm Visitors Board,Figure estimated base on the total number of sleepovers for foreign tourists and day cruise passangers
Sydney,3.100.000,,2015,Destination NSW,
Taipei,7.038.496,,2013,"Department of Information and Tourism, Taipei City Government",
Tokyo,11.894.000,,2015,"Tokyo Metropolitan Government, Bureau of Industrial and Labor Affairs, (2015).",
Toronto,1.518.215,,2015,Statistics Canada,
Vienna,4.564.276,,2013,Vienna Annual Statistics 2013,
Warsaw,2.700.000,,2014,Ipsos Loyality Research,
