City,Figure,Per capita,Date,Source,Notes
Amsterdam,95,,2015,Central Association for Markets and Trading,
Austin,15,,2015,USDA - Farmer Market Directory/Texas Flea Market Listing,
Bogotá,39,,2013,IDT/IPES,
Buenos Aires,104,,2016,Dirección General de Ferias y Mercados; y Subsecretaria de Uso del Espacio Público y Feria de Mataderos; Ministerio de Cultura CABA,
Dakar,7,,2016,Ville de Dakar,
Edinburgh,11,,2015,This is Edinburgh website,
Hong Kong,101,,2015,Food and Environmental Hygiene Department,
Istanbul,601,,2015,İstanbul Chamber of Marketers; Council of Shopping Centers Turkey,
Johannesburg,37,,2012,VANSA,
London,122,,2008,The London Market Guide,
Los Angeles,263,,2015,LA Times / Timeout LA / Collectors.org,
Madrid,50,,2014,Mercadillo Semanal,
Melbourne,117,,2015,The Market Guide,
Montréal,21,,2013,Corporation de gestion des marchés publics de Montréal,
Moscow,128,,2014,Yellow pages,
New York,144,,2015,Farmer's Market Map 2015. NYC Government,
Paris,550,,2013,Crocis,
Rio de Janeiro,14,,2012,TurisRio,
São Paulo,43,,2011,Biblioteca Virtual,
Seoul,366,,2014,Seoul Metropolitan Government,
Shanghai,262,,2011,Culture Enforcement Taskforce,
Shenzhen,265,,2014,Dianping.com,
Sydney,118,,2015,The Market Guide,
Taipei,4,,2014,"Department of Cultural Affairs, Taipei City Government",
Tokyo,87,,2015,Industrial Arts and Craft,
Toronto,65,,2015,10 Times / tfmn webpage,
