City,Figure,Per capita,Date,Source,Notes
Amsterdam,262,,2015,Yellow Pages,
Berlin,104,,2012,Gelbe Seiten,
Dakar,1,,2016,Ville de Dakar,thedancehall.sn/
Edinburgh,55,,2015,Yell / Dance Base / Broughton Specialist Dance Unit,
Istanbul,109,,2015,Yellow Pages,
Johannesburg,36,,2012,VANSA,
London,589,,2015,Yell,
Los Angeles,78,,2013,Dance Resource Center of Greater Los Angeles,
Madrid,147,,2014,Paginas Amarillas,
Melbourne,702,,2015,Yellow Pages,
Montréal,109,,2013,Pages Jaunes,
Moscow,628,,2014,Yellow pages,
New York,682,,2012,NYC Performing Arts Spaces,
Paris,717,,2015,Pages Jaunes,
Rio de Janeiro,856,,2013,Apontador/Telelistas/Liga das Escolas de Samba do Rio de Janeiro,
San Francisco,63,,2015,Yelp / City Search,
São Paulo,1,,2012,Guia São Paulo,
Seoul,99,,2014,Korea Telephone Directory,
Shenzhen,676,,2014,Dianping.com,
Singapore,101,,2016,Eguide Singapore Business Directory,
Stockholm,200,,2014,kurser.se,
Sydney,420,,2015,Yellow Pages / City of Sydney,
Taipei,86,,2015,"Community College, Taipei City; Cultural Statistics; Ministry of Education",
Tokyo,650,,2016,"Nippon Telegraph and Telephone Corporation - ""itownpage directory""",
Toronto,27,,2015,Yellow pages,
Vienna,34,,2015,"Municipal event department, Dep 36",
