City,Figure,Per capita,Date,Source,Notes
Amsterdam,3.3,,2014,LISA,
Austin,2.9,,2015,City of Austin,
Berlin,2.5,,2010,Amt für Statistik Berlin-Brandenburg,
Bogotá,1.2,,2013,SDCRD/Bibliored/Bibliotecas Comunitarias,
Brussels,10,,2015,Dept Culture City of Brussels,
Buenos Aires,2.6,,2015,CONABIP/Ministerio de Cultura CABA,
Dakar,4,,2016,,
Dubai,0.3,,2015,Dubai Culture and Arts Authority,
Edinburgh,60.5,,2015,National Records of Scotland,
Hong Kong,1,,2016,Leisure and Cultural Services Department,
Istanbul,0.4,,2014,"Ministry of Culture and Tourism, Istanbul Metropolitan Municipality, Turkish Statistical Institute (population statistics)",
Johannesburg,2.1,,2010,Gauteng Library/Information Services 2010 Annual Report,
London,4.2,,2014,CIPFA Stats Public Library Statistics,
Los Angeles,2.4,,2005,Institute of Museum and Library Services,
Madrid,1.5,,2013,"Archivo del Área de Gobierno de Las Artes, Deportes y Turismo. Ayuntamiento de Madrid",
Melbourne,3.4,,2015,"State Library of Victoria, Directory of Public Library Services in Victoria",
Montréal,3,,2012,MCC - Ministère de la culture et des communications du Québec,
Moscow,4.2,,2014,Federal state statistic service,
Mumbai,0.6,,2012,Tata Institute of Social Sciences,
New York,2.7,,2015,Institute of Museum and Library Services,
Paris,9.2,,2014,Le Motif / Insee,
Rio de Janeiro,1.2,,2013,Fundação Biblioteca Nacional (Cadastro Nacional de Bibliotecas),
Rome,0.8,,2014,Biblioteche di Roma,
San Francisco,4.2,,2005,National Center for Education Statistics; US Census Bureau,
São Paulo,0.9,,2013,Fundação Biblioteca Nacional (Cadastro Nacional de Bibliotecas),
Seoul,6,,2014,Seoul Metropolitan Government / The Seoul Institute,
Shanghai,1.2,,2015,Shanghai Municipal Libraries Association,
Shenzhen,5.9,,2014,Culture Sports and Tourism Administration of Shenzhen Municipality,
Singapore,0.5,,2015,Public Libraries Singapore Website,
Stockholm,4.2,,2012,The Stockholm region library,
Sydney,3.3,,2015,Office of Local Government,
Taipei,1.8,,2014,"Department of Cultural Affairs, Taipei City Government",
Tokyo,2.9,,2014,Tokyo Statistical Yearbook 2014,
Toronto,3.9,,2015,TorontoPublicLibrary.ca,
Vienna,5.9,,2014,Vienna Annual Statistics 2014,
Warsaw,11.4,,2014,Main Library of Mazovia Voivodship,
