City,Figure,Per capita,Date,Source,Notes
Amsterdam,"1,337",,2013,Trade Association for Horeca and Catering,
Austin,"2,061",,2015,Restaurant Guide,
Berlin,"4,885",,2008,Amt für Statistik Berlin-Brandenburg,
Bogotá,"6,158",,2013,Cámara de Comercio de Bogotá,
Brussels,"4,235",,2013,FOD Economie ADSEI,
Buenos Aires,"6,747",,2016,Ministerio de Justicia y Seguridad- Agencia Gubernamental de Control,
Edinburgh,138,,2015,Visit Scotland,
Hong Kong,"13,143",,2015,Food and Environmental Hygiene Department,
Istanbul,"1,122",,2015,Istanbul Chamber of Commerce,
Johannesburg,"15,000",,2012,FEDHASA/VANSA,Estimate
London,"24,360",,2014,Horizons research (on behalf of the Food Standards Agency),
Los Angeles,"36,571",,2015,LA County Department of Public Health Food Facility Ratings; City of Pasadena Restaurant Inspections,Does not include restaurants in the cities of Long Beach and Vernon
Madrid,"6,334",,2014,Dirección General de Estadística. Ayuntamiento de Madrid,
Melbourne,"4,009",,2015,Yellow Pages,
Montréal,"2,283",,2013,"Régie des alcools, des courses et des jeux du Québec",
Moscow,"3,159",,2014,Yellow Pages,
Mumbai,"13,205",,2012,Brihanmumbai Municipal Corporation Diary,
New York,"23,520",,2015,New York City Department of Health Restaurant Inspection Information,
Paris,"38,393",,2012,Base permanente des équipements (BPE) Insee,
Rio de Janeiro,"6,576",,2012,"SindRio, Sindicato de Hotéis, Bares e Restaurantes",
Rome,"14,495",,2015,Camera di Commercio - Infocamere,
San Francisco,"3,973",,2014,San Francisco Department of Public Health,
São Paulo,"12,500",,2012,"SinHoRes, Sindicato de Hotéis, Restaurantes, Bares e Similares de São Paulo",
Seoul,"81,477",,2013,STATISTICS KOREA (Report of the census on establishment),
Shenzhen,"84,257",,2014,Dianping.com,
Singapore,"1,390",,2016,Eguide Singapore Business Directory,Excluding fast food restaurants/cafes/canteens/coffee houses
Stockholm,"2,000",,2013,118100.se,
Sydney,"19,384",,2014,NSW Food Authority,Includes restaurants and cafes.
Taipei,"7,061",,2014,Ministry of Finance,
Tokyo,"149,141",,2014,"Health and Safety Division Bureau of Social Welfare and Public Health - Tokyo Metropolitan Government - ""Annual Report on Food Sanitation 2015""",
Toronto,"7,961",,2015,Municipal licensing and standards,
