City,Figure,Per capita,Date,Source,Notes
Amsterdam,107,,2014,LISA,
Austin,5,,2015,City of Austin,
Dakar,2,,2016,Ville de Dakar,
Edinburgh,11,,2015,Yell,
Hong Kong,211,,2015,Home Affairs Department,
Istanbul,18,,2010,Yellow Pages,
Johannesburg,11,,2012,VANSA,
London,48,,2015,Yell,
Los Angeles,41,,2013,Yelp/Citysearch,
Madrid,3,,2014,Paginas Amarillas,
Melbourne,14,,2015,"Yellow Pages, Online Research",
Montréal,4,,2013,Yelp,
Mumbai,278,,2012,Tata Institute of Social Sciences,
New York,32,,2015,Yelp,
Paris,11,,2015,Yelp,
San Francisco,16,,2015,Yelp and Citysearch,
Rio de Janeiro,6,,2013,Glio/Apontador/Guiaamais,
Seoul,227,,2013,STATISTICS KOREA (Report of the census on establishment),Figure does not include additional 3279 'PC-Bang's (LAN-gaming center)
Shanghai,797,,2014,2014 Shanghai Culture and Heritage Statistics Yearbook,
Shenzhen,240,,2011,Culture Sports and Tourism Administration of Shenzhen Municipality,
Singapore,17,,2014,Eguide Singapore Business Directory - Arcade Game Centres,
Stockholm,0,,2014,Swedish Games Industry,
Sydney,6,,2015,Desktop research,
Taipei,54,,2014,Ministry of Finance,
Tokyo,509,,2014,"Japan National Crime Prevention Association - ""Entertainment Environment Cleanup Association's Activities""",
Toronto,13,,2015,Yelp,
