City,Figure,Per capita,Date,Source,Notes
Amsterdam,138,,2014,Netherlands Museums Association,
Austin,38,,2015,Museums USA,
Berlin,140,,2010,Staatliche Museen zu Berlin – Preußischer Kulturbesitz,
Bogotá,76,,2013,PLAMEC/SIMCO/Red Nacional de Museos/Ministerio de Cultura,
Brussels,85,,2015,Conseil bruxellois des musées,
Buenos Aires,56,,2016,Dirección General de Museos GCBA,
Dakar,7,,2016,Ville de Dakar,
Dubai,9,,2015,Dubai Culture and Arts Authority,
Edinburgh,26,,2015,Museums Galleries Scotland,
Hong kong,23,,2016,Leisure and Cultural Services Department,
Istanbul,49,,2014,Istanbul Provincial Directorate of Culture and Tourism,
Johannesburg,51,,2012,COJ 2030 Report/VANSA,
London,202,,2015,Londonupclose.com / Association of Independent Museums,
Los Angeles,229,,2015,Institute of Museum & Library Studies; Visual Art Source,
Madrid,52,,2014,Directorio de Museos y Colecciones Espana,
Melbourne,38,,2015,Visit Victoria,
Montréal,66,,2013,Société des musées québécois/Ministère de la Culture et des Communications,
Moscow,336,,2013,Department of culture,
Mumbai,6,,2012,Tata Institute of Social Sciences,
New York,136,,2015,Alliance for the Arts/NYC-ARTS,
Paris,286,,2015,IAU Ile-de-France,
Rio de Janeiro,120,,2010,Cadastro Nacional de Museus IBRAM / MINC,
San Francisco,159,,2014,Institute of Museum & Library Studies; Visual Art Source,
São Paulo,131,,2010,Cadastro Nacional de Museus IBRAM / MINC,
Seoul,191,,2015,"Ministry of Culture, Sports and Tourism + The Seoul Institute",
Shanghai,25,,2014,"Shanghai Municipal Administration of Culture, Radio, Film & TV",
Shenzhen,34,,2014,Shenzhen MunicipalEconomic and Social Development Statistics 2014,
Singapore,52,,2015,Singapore Cultural Statistics 2015 - Arts and Cultural Scene (National Arts Council),
Stockholm,70,,2013,Swedish Agency for Cultural Policy Analysis The association of Swedish museums,
Sydney,82,,2013,Museums and Galleries NSW,
Taipei,89,,2014,Chinese Association of Museums,
Tokyo,167,,2016,Japanese Association of Museums,
Toronto,63,,2014,Ontario Museum Association Website,
Vienna,42,,2014,Vienna Annual Statistics 2014,
Warsaw,59,,2014,Minstry of Culture and National Heritage,
