City,Figure,Per capita,Date,Source,Notes
Amsterdam,80,,2014,LISA,
Austin,26,,2015,City of Austin,
Berlin,88,,2010,Amt für Statistik Berlin-Brandenburg,
Bogotá,89,,2013,SDCRD/Bibliored/Bibliotecas Comunitarias,
Brussels,118,,2015,Dept Culture City of Brussels,
Buenos Aires,81,,2016,CONABIP/Ministerio de Cultura CABA,
Dubai,8,,2015,Dubai Culture and Arts Authority,
Edinburgh,298,,2015,City of Edinburgh Council Library & Information Service,
Hong Kong,80,,2016,Leisure and Cultural Services Department,
Istanbul,62,,2014,"Ministry of Culture and Tourism, Istanbul Metropolitan Municipality",
Johannesburg,234,,2010,Gauteng Library/Information Services 2010 Annual Report,
London,353,,2014,CIPFA Stats Public Library Statistics,
Los Angeles,240,,2011,Institute of Museum and Library Services,
Madrid,46,,2013,"Archivo del Ărea de Gobierno de Las Artes, Deportes y Turismo. Ayuntamiento de Madrid",
Melbourne,152,,2015,"State Library of Victoria, Directory of Public Library Services in Victoria",
Montréal,57,,2012,Ministère de la Culture et des Communications,
Moscow,507,,2013,Department of culture,
Mumbai,80,,2012,Tata Institute of Social Sciences,
New York,217,,2015,New York Public Library,
Paris,"1,100",,2014,Le Motif,
Rio de Janeiro,74,,2013,Fundação Biblioteca Nacional (Cadastro Nacional de Bibliotecas),
Rome,36,,2014,Biblioteche di Roma,
San Francisco,34,,2012,Institute of Museum and Library Services,
São Paulo,98,,2013,Fundação Biblioteca Nacional (Cadastro Nacional de Bibliotecas),
Seoul,608,,2015,Seoul Metropolitan Government + The Seoul Institute,
Shanghai,302,,2015,Shanghai Municipal Libraries Association,
Shenzhen,639,,2014,Culture Sports and Tourism Administration of Shenzhen Municipality,
Singapore,27,,2015,Public Libraries Singapore Website,
Stockholm,90,,2012,The Stockholm region library,
Sydney,160,,2015,Office of Local Government,
Taipei,48,,2014,National Central Library ă€National Library of Public Information,
Tokyo,387,,2014,"Tokyo Metropolitan Government - ""Tokyo Statistical Yearbook 2014""",
Toronto,102,,2015,Toronto Public Libraries,
Vienna,104,,2014,Vienna Annual Statistics 2014,
Warsaw,197,,2014,Main Library of Mazovia Voivodship,
