City,Figure,Per capita,Date,Source,Notes
Austin,15,,2015,City of Austin,
Berlin,4,,2012,Gelbe Seiten,
Buenos Aires,100,,2016,"C.A.P.L.A (Cámara Argentina de Papelerías, Librerías y Afines)",
Edinburgh,20,,2015,Yell,
Istanbul,64,,2015,Online resources,
Johannesburg,943,,2012,VANSA/SABDA database,
London,59,,2015,Booksellers Association,
Madrid,32,,2014,Paginas Amarillas,
Melbourne,46,,2015,Australian Booksellers Association / Yellow Pages,
Montréal,16,,2013,Pages Jaunes,
Moscow,16,,2014,City of Moscow,
Mumbai,6,,2012,Tata Institute of Social Sciences,
New York,91,,2015,YellowPages,
Paris,254,,2015,"Pages Jaunes, librairies, éditions anciennes / bouquinistes",
Rio de Janeiro,68,,2013,Sebos do Brasil,
São Paulo,90,,2011,Guia Mais,
Seoul,104,,2015,The Seoul Institute,
Shenzhen,65,,2014,kongfz.com,
Singapore,12,,2016,Eguide Singapore Business Directory,
Stockholm,20,,2014,Svenska Antikvariatföreningen,
Sydney,80,,2015,Yellow Pages,
Tokyo,629,,2016,"The Tokyo Association of Dealers in Old Books - ""Nihon no Furuhon-ya""",
Toronto,30,,2015,Yellow pages / BOP,
