City,Figure,Per capita,Date,Source,Notes
Amsterdam,58,,2014,LISA,
Austin,19,,2015,Texas Theatre Online,
Berlin,56,,2010,Deutscher Bühnenverein Theaterstatistik 2009/2010,
Bogotá,74,,2012,"Secretaría Distrital de Cultura, Recreación y Deporte/PLAMEC",
Brussels,61,,2015,VisitBrussels / agendas,
Buenos Aires,288,,2016,SINCA,
Dakar,2,,2016,Ville de Dakar,Théâtre Daniel Sorano Grand Théâtre National
Edinburgh,5,,2015,Culture Republic,
Hong Kong,44,,2014,"Hong Kong Annual Arts Survey Report Highlights 2013/14, published by Hong Kong Arts Development Council",
Istanbul,189,,2013,Turkish Statistical Institute,
Johannesburg,24,,2012,COJ 2030 report/VANSA,
London,241,,2013,Arts Council England & Visit London,
Los Angeles,330,,2013,SpacefinderLA,
Madrid,112,,2014,BOP,
Melbourne,81,,2015,Yellow Pages,
Montréal,36,,2013,"Ville de Montréal, Direction Culture et Patrimoine",
Moscow,182,,2013,Department of culture,
Mumbai,120,,2012,Tata Institute of Social Sciences,
New York,640,,2015,Alliance for the Arts/NYC-ARTS,
Paris,490,,2015,Arcadi/IAU,
Rio de Janeiro,158,,2013,Funarte,
Rome,83,,2015,Pagine gialle.it,
San Francisco,127,,2015,Bay Area Performing Arts Spaces,
São Paulo,116,,2012,SPTuris,
Seoul,526,,2015,The Seoul Institute / Korea Arts Management Service,
Shanghai,214,,2014,13th 5-year plan by the PRC,
Shenzhen,40,,2014,Shenzhen University,
Singapore,14,,2014,National Arts Council,
Stockholm,80,,2014,Eniro,
Sydney,90,,2015,"Arts NSW, Sydney Arts Guide, TheatreSydney.info",
Taipei,188,,2014,Ministry of Culture,
Tokyo,219,,2016,"Theatre Guide - ""Directory of Theatre Guide"" and NLI Research Institute Rakugo Kyokai Association - ""Directory of Yose (theatre)""; Rakugo Art Association - ""Directory of Engeijo (theatre)""",
Toronto,75,,2013,Toronto Theatre,
Vienna,26,,2015,"Municipal event department, Dep 36",
Warsaw,24,,2014,Central Statistical Office of Poland,
