City,Figure,Per capita,Date,Source,Notes
Amsterdam,2.388.463,,2015,Statistics Netherlands/TNO,
Netherlands,16.779.575,,2013,Statistics Netherlands,
Austin,912.791,,2014,US Census Bureau,
United States,308.745.538,,2014,US Census Bureau,
Berlin,3.460.725,,2010,Amt für Statistik Berlin-Brandenburg,
Germany,81.752.000,,2010,Statistisches Bundesamt Deutschland,
Bogotá,7.674.366,,2013,Departamento Nacional de Estadística,
Colombia,47.120.770,,2013,Departamento Nacional de Estadística,
Brussels,1.175.173,,2015,IBSA,
Belgium,11.209.044,,2015,IBSA,
Buenos Aires,3.049.229,,2014,Ministerio de Economía,elaboración Ministerio de Economía con base en CNPHV2010 - INDEC
Argentina,43.590.368,,2016,INDEC,elaboración Ministerio de Economía con base en CNPHV2010 - INDEC
Dakar,3.429.370,,2016,Agence Nationale Statistique,
Senegal,13.567.338,,2016,Agence Nationale Statistique,
Dubai,2.327.350,,2014,Dubai Statistics Centre,
Edinburgh,"492,680",,2014,National Records of Scotland,Indicator is from Mid-2014 Population Estimates Scotland
Scotland,5.347.600,,2014,National Records of Scotland,Indicator is from Mid-2014 Population Estimates Scotland
Hong Kong,7.324.800,,2015,Census and Statistics Department,
Istanbul,14.337.018,,2014,Turkish Statistical Institute,
Turkey,77.694.904,,2014,Turkish Statistical Institute,
Johannesburg,11.328.203,,2011,StatSA Mid Year Population Estimates 2011,
South Africa,50.586.757,,2011,StatSA Mid Year Population Estimates 2011,
London,8.416.535,,2013,Office for National Statistics,
United Kingdom,64.105.654,,2013,Office for National Statistics,http://data.london.gov.uk/dataset/office-national-statistics-ons-population-estimates-borough/resource/c8457adc-cebd-4f77-97e7-02571c791b79
Los Angeles,10.116.705,,2014,US Census Bureau,
United States,308.745.538,,2014,US Census Bureau,
Madrid,3.166.130,,2014,Mayor of Madrid (Ayuntamiento de Madrid),
Spain,46.725.164,,2014,"Institute for Statistics of the Community of Madrid (Instituto de Estadisdica, Comunidad de Madrid)",
Melbourne,4.440.300,,2014,Australian Bureau of Statistics,
Australia,23.490.700,,2014,Australian Bureau of Statistics,
Montréal,1.886.481,,2011,"Statistique Canada, Recensement 2011 de la population",
Canada,33.476.688,,2011,2011 Canada Census,
Moscow,12.108.275,,2014,Federal State Statistics Servise,
Russia,143.666.931,,2014,Federal State Statistics Servise,
Mumbai,12.432.830,,2011,Brihanmumbai Municipal Corporation Diary 2012,
India,1.210.193.422,,2011,Census 2011,
New York,8.175.133,,2010,U.S. Census Bureau,
United States,308.745.538,,2010,U.S. Census Bureau,
Paris,12.005.077,,2014,Insee,
France,63.920.247,,2014,Insee,
Rio de Janeiro,6.320.446,,2011,Censo,
Brazil,198.000.000,,2012,Censo,
Rome,4.342.046,,2014,ISTAT,
Italy,61.070.224,,2014,ISTAT,
San Francisco,805.235,,2010,US Census Bureau,
United States,308.747.508,,2010,US Census Bureau,
São Paulo,11.253.503,,2011,Censo,
Brazil,198.000.000,,2012,Censo,
Seoul,10.103.233,,2014,Statistics Korea,
Korea,51.327.916,,2014,Statistics Korea,
Shanghai,24.256.800,,2014,Statistics Shanghai,
China,1.360.720.000,,2014,National Bureau of Statistics of the People's Republic of China,
Shenzhen,10.778.900,,2014,Statistics Bureau of Shenzhen Municipality,
China,1.360.720.000,,2014,National Bureau of Statistics of the People's Republic of China,
Singapore,5.607.300,,2016,Department of Statistics Singapore,
Stockholm,2.163.042,,2013,Statistics Sweden,
Sweden,9.644.864,,2013,Statistics Sweden,
Sydney,4.840.600,,2014,Australian Bureau of Statistics,Greater Sydney Area
Australia,23.490.700,,2014,Australian Bureau of Statistics,
Taipei,2.702.315,,2014,"Department of Cultural Affairs, Taipei City Government",
Taiwan,23.433.753,,2014,"Department of Cultural Affairs, Taipei City Government",
Tokyo,13.513.734,,2015,2015 Population Census,
Japan,127.110.047,,2015,2015 Population Census,
Toronto,2.615.060,,2011,2011 Canada Census,
Canada,33.476.688,,2011,2011 Canada Census,
Vienna,1.766.746,,2014,Vienna Annual Statistics 2014,
Austria,8.572.895,,2014,BOP,
Warsaw,1.735.400,,2014,Central Statistical Office of Poland,
Poland,38.478.602,,2014,Central Statistical Office of Poland,
