City,Figure,Per capita,Date,Source,Notes
Amsterdam,$70.530.401,"$29,5",2014,Dutch Exhibitors Association,
Berlin,$80.784.465,"$23,3",2011,Filmförderungsanstalt,
Bogotá,$114.712.053,"$14,9",2012,Dirección de Cinematografía - Ministerio de Cultura de Colombia,
Buenos Aires,$652.470.741,$213,2015,INCAA (Instituto Nacional de Cine y Artes Visuales),
Hong Kong,$338.296.472,"$46,2",2015,Hong Kong Film Development Council,
Istanbul,$73.294.423,"$5,1",2014,"Ministry of Culture and Tourism - ""Istanbul Film Industry Report""",
Johannesburg,$102.724.956,"$9,1",2011,PricewaterhouseCoopers,Figure estimated from national figure
London,$423.222.863,"$50,3",2013,BFI Statistical Yearbook 2014,
Madrid,$84.530.598,"$26,7",2013,Ayuntamiento de Madrid (Ministerio de Cultura. Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)),
Melbourne,$134.685.448,"$30,3",2014,"Screen Australia, Australian Bureau of Statistics",
Montréal,$43.756.308,"$23,2",2012,Observatoire de la culture et des communications (OCCQ) de l'Institut de la statistique du Québec,
Mumbai,$81.200.553,"$3,5",2011,Tata Institute of Social Sciences,
Paris,$433.443.474,"$36,0",2013,CNC,
Rio de Janeiro,$99.274.882,"$15,7",2012,Filme B,
São Paulo,$281.214.848,"$25,0",2011,Organização Filme B,
Seoul,$420.414.943,"$45,0",2014,Korean Film Council,
Shanghai,$562.739.462,"$23,2",2014,"Shanghai Municipal Administration of Culture, Radio, Film & TV",
Shenzhen,$193.095.000,"$17,9",2014,Shenzhen Evening News,
Singapore,$204.084.535,"$36,0",2014,Singapore Cultural Statistics 2015 - Film Attendance and Box Office,in SGD
Stockholm,$61.819.926,"$28,0",2013,The Swedish Film Institute,
Sydney,$199.488.120,,2014,Screen Australia,
Taipei,$237.670.702,"$88,0",2014,"Bureau of Audiovisual and Music Industry Development, Ministry of Culture",
Tokyo,$354.221.587,"$26,46",2015,"Ministry of Economy, Trade and Industry - ""Survey of Selected Service Industries 2015""",
Toronto,$87.700.708,"$33,5",2010,Statistics Canada,Estimated from regional admission receipts
Vienna,$46.390.563,"$26,25",2013,Filmwirtschaftbericht,
